Rank,College Name,Undergraduate Tuition & Fees($),Graduate Tuition & Fees($),SAT Score,Acceptance Rate,Population,Graduation Rate,Student:Faculty Ratio
1,"Stanford UniversityStanford, CA",62484,59499,1550,0.04,18446,0.93,6.00
2,"Harvard UniversityCambridge, MA",59076,55440,1550,0.03,30386,0.97,7.00
3,"Massachusetts Institute of TechnologyCambridge, MA",60156,63393,1550,0.05,11920,0.96,3.00
4,"Princeton UniversityPrinceton, NJ",59710,62860,1540,0.05,8922,0.97,5.00
5,"Yale UniversityNew Haven, CT",64700,48300,1540,0.05,15081,0.96,6.00
6,"Columbia University in the City of New YorkNew York, NY",68171,56279,1540,0.04,35279,0.95,6.00
7,"University of PennsylvaniaPhiladelphia, PA",66104,46034,1540,0.06,28711,0.97,8.00
8,"California Institute of TechnologyPasadena, CA",63255,63063,-,0.03,2463,0.93,3.00
9,"University of ChicagoChicago, IL",65619,66543,1550,0.05,18339,0.95,5.00
10,"Duke UniversityDurham, NC",65805,63985,1550,0.07,17112,0.96,6.00
11,"Dartmouth CollegeHanover, NH",65511,64068,1540,0.06,6746,0.96,7.00
12,"Northwestern UniversityEvanston, IL",65997,53871,1530,0.07,23203,0.96,6.00
13,"Brown UniversityProvidence, RI",68230,67006,1540,0.05,11516,0.96,6.00
14,"Georgetown UniversityWashington, DC",65081,59306,1500,0.13,20392,0.94,11.00
15,"Rice UniversityHouston, TX",58128,54462,1550,0.08,8556,0.96,6.00
16,"Cornell UniversityIthaca, NY",66014,30085,1520,0.08,26264,0.95,9.00
17,"Vanderbilt UniversityNashville, TN",63946,56128,1540,0.06,13456,0.93,7.00
18,"Carnegie Mellon UniversityPittsburgh, PA",63274,49450,1540,0.11,15596,0.93,5.00
19,"University of Notre DameNotre Dame, IN",62693,62502,1500,0.12,13174,0.97,9.00
20,"Tufts UniversityMedford, MA",67844,49476,1510,0.1,13274,0.93,10.00
21,"Washington University in St LouisSaint Louis, MO",62982,62366,1540,0.12,16500,0.94,7.00
